product_id,field,extracted_text,final_verdict,agreement,n_models,should_be_consensus,offending_text,reason,vote_gpt-5.5-pro
88342,redo_booking_inclusions,"Morning tea served on arrival, with percolated coffee, hot tea, and delicious home-made ANZAC biscuits - we would bet you haven't had them like this before!
Lunch is served around midday, and consists of a very Aussie Ploughman's-style plate with a selection of cold meats (ham, beef, salami), tasty cheese, tomato, cucumber, carrot, mixed lettuce leaves, pickled onions, fresh Turkish Bread roll, pickles, fruit chutney, butter & Italian dressing.
We can cater for the common dietary requirements (gluten free, vegetarian etc) - just let us know at the time of booking.
All our boats are fully licensed, so you can enjoy a glass of wine or beer, or a soft drink, with your lunch. Water is always available at the bar.",CORRECT,1/1,1,,,,CORRECT
88342,redo_booking_other,[Click here for directions!](https://goo.gl/maps/BPDbiqNArSN2),WRONG_FIELD,1/1,1,redo_booking_location,[Click here for directions!](https://goo.gl/maps/BPDbiqNArSN2),A directions/map link belongs in the booking location field.,WRONG_FIELD
97611,redo_desc_about,"Drop the kids off and let them loose in the kitchen with us whilst you enjoy a relaxing morning out chatting over coffee or getting a few things done - kid free! In this exciting hands-on kids cooking class your kids will be guided by our 2 Chefs to learn how to work in teams with some tasks allocated individually to each child, and be taught how to prepare some great, fun and tactile food that they can replicate at home. This is such a tactile and entertaining class that the kids won't even realise that they are gaining valuable life skills. Of course afterwards they get to sit back and devour it all - BUT we’ve saved the best for last - we do the cleaning...
##Menu: *Seasonal Fruit Smoothies; Bread Rolls; Baked Egg & Bacon Muffins, Chicken Puff Pies; Cheat Chocolate Eclairs and Fruit Pavlovas!*
They were so excited when I picked them up.
The facilities are great and everyone is really friendly.
*The first thing my son said when I went to collect him (before even hello) was “can we come back here?!” My boys LOVED this class and we will definitely be back for more!*",WRONG_FIELD,1/1,1,redo_desc_other,They were so excited when I picked them up. The facilities are great and everyone is really friendly. *The first thing my son said... My boys LOVED this class...*,"Customer testimonial/review content belongs in the catch-all other field, not the general about description.",WRONG_FIELD
97611,redo_desc_other,Remember to check out the other kids classes Menu #1 & Menu #3!,CORRECT,1/1,1,,,,CORRECT
97611,redo_booking_what_to_bring,"Please require you to wear flat, enclosed shoes and recommend comfortable clothes if you are attending a cooking class.",CORRECT,1/1,1,,,,CORRECT
97611,redo_booking_inclusions,We will provide you with cooking aprons. We do provide glassware for your use.,CORRECT,1/1,1,,,,CORRECT
97611,redo_booking_location,267 Scarborough Beach Road MOUNT HAWTHORN (not Doubleview) on the Corner of Brady Street & Scarborough Beach Road. Click here for the Google Maps Link: https://goo.gl/maps/fLisAREUGY6yMQ4AA. Parking available: via Brady St or from Scarborough Beach Rd.,CORRECT,1/1,1,,,,CORRECT
97611,redo_booking_check_in,Please arrive 15 minutes before start time.,WRONG_FIELD,1/1,1,redo_booking_departure_info,Please arrive 15 minutes before start time.,"This is arrival timing, not an action to complete on arrival.",WRONG_FIELD
97611,redo_booking_departure_info,The event will also end on time.,CORRECT,1/1,1,,,,CORRECT
97611,redo_booking_itinerary,"Depending on the menu this usually includes a range of 3 dishes (Workshop) or 5/6 dishes (Cooking Class) all cooked by you, the class participants. The final part of the class will be spent enjoying our feast!",CORRECT,1/1,1,,,,CORRECT
97611,redo_booking_other,"For large groups we ask that you bring an esky as fridge space is limited. Please also note that the Riki Kaspi Spice Journey range of products are also available to purchase at the school. You will also receive the recipes from the class by email the day after.
You don't have to do anything, just enjoy, relax and give yourself over into the hands of our experienced team.",WRONG_FIELD,1/1,1,redo_booking_what_to_bring,For large groups we ask that you bring an esky as fridge space is limited.,"This is an item customers are asked to bring, so it belongs in the what-to-bring field.",WRONG_FIELD
98571,redo_desc_about,"Led by experienced teacher Gena Kenny, this class is suitable for all fitness and experience levels, this class is about having fun on the water, trying something new, and stretching out your body. Class numbers are limited.
description: # *Add an extra challenge and beauty to your yoga session with SUP Yoga*",CORRECT,1/1,1,,,,CORRECT
98571,redo_desc_what_included,"Equipment hire of board and paddle, instruction and safety advice and much more.",CORRECT,1/1,1,,,,CORRECT
98571,redo_desc_what_to_bring,"Yourself, plus water, sunscreen towel etc.",CORRECT,1/1,1,,,,CORRECT
98571,redo_desc_duration_text,1 hour and 15 minutes,CORRECT,1/1,1,,,,CORRECT
98571,redo_desc_other,**$40** per person,CORRECT,1/1,1,,,,CORRECT
98833,redo_desc_about,"Why just float on top, when you can see all that the lakes have to offer below as you paddle around. Our Transparent Kayaks can be configured for one or two paddlers and our extra padded seats ensure a comfortable and luxurious ride. Regardless of your experience level, our Kayaks will ensure a truly memorable day on the water.
##View the Vibrant Marine Life below in Comfort",CORRECT,1/1,1,,,,CORRECT
98833,redo_desc_highlights,Our luxury Transparent Kayaks offer a truly unique experience.,CORRECT,1/1,1,,,,CORRECT
98833,redo_desc_duration_text,1-4 hour options,CORRECT,1/1,1,,,,CORRECT
98833,redo_desc_other,Starting at $25 for one hour rental!,CORRECT,1/1,1,,,,CORRECT
98833,redo_booking_location,"Forster Houseboat Hire & Boatshed Number One, Little Street, Forster, NSW 2428 (as we are a Marina we do not have a street address for GPS, instead use 20-22 Little Street, Forster and we are across the road)",CORRECT,1/1,1,,,,CORRECT
98833,redo_booking_important_info,"Groups under 40 years of the same sex require $1500 bond, plus valid credit card details to hire due to morons. If you try and play games to avoid this we have the right to terminate your hire with no refund, so just don't.",CORRECT,1/1,1,,,,CORRECT
98833,redo_booking_cancellation,"Cancellations must be made a minimum of 60 days prior to the commencement of the hire for a refund to be payable with a 20% cancellation fee. For cancellations made less than 60 days prior to the commencement of the hire refunds will only be made if the same boat has been hired for the same period at the same price. If there is excessive rain on the day of your hire, we will reschedule or accommodate you (excluding houseboats). If we deem the weather to be too dangerous such as high winds, cyclone, flooding we will reschedule your booking at no charge. A $250 date change fee will apply if we have the availability and are able to reschedule your booking. Travel insurance is recommended for Houseboat Bookings in case you need to alter your travel plans.",CORRECT,1/1,1,,,,CORRECT
98833,redo_booking_other,Parking: There is Free on street and untimed parking from Boatshed #1 Back towards Town on both sides of the road.,WRONG_FIELD,1/1,1,redo_booking_location,Parking: There is Free on street and untimed parking from Boatshed #1 Back towards Town on both sides of the road.,"Parking information belongs in the booking location field, which explicitly includes parking and directions.",WRONG_FIELD
99621,redo_desc_about,"Our Paddle & Picnic allows you to leave the world behind for a day of great water activities. The self-catered option is a 4 hour event for $75 per person and includes kayak hire, picnic set up and eskies with ice. You will arrive at our wharf location and we will start with a paddle and safety briefing. We will then get everyone into the kayaks to paddle to the beach where your picnic is set up. This is about a 30 minute paddle. You will then have about 3 hours there, followed by another 30 minute paddle back. While you paddle we will transfer any food, drinks or equipment over to the beach. Great for small and large groups you can make the day your own with a range of add-ons including, stand up paddleboarding, food and drink packages, beach yoga and more! Beach Picnics are able to be run 7 days a week. They require a minimum of six participants and we can cater for up to 110 people at one time.",WRONG_FIELD,1/1,1,redo_group_size,They require a minimum of six participants and we can cater for up to 110 people at one time.,Participant-count limits belong in the group size field rather than the general about field.,WRONG_FIELD
99621,redo_desc_what_included,"kayak hire, picnic set up and eskies with ice",CORRECT,1/1,1,,,,CORRECT
99621,redo_desc_itinerary,"We will start with a paddle and safety briefing. We will then get everyone into the kayaks to paddle to the beach where your picnic is set up. This is about a 30 minute paddle. You will then have about 3 hours there, followed by another 30 minute paddle back. While you paddle we will transfer any food, drinks or equipment over to the beach.",CORRECT,1/1,1,,,,CORRECT
99621,redo_desc_duration_text,4 hour event,CORRECT,1/1,1,,,,CORRECT
99621,redo_desc_requirements,minimum of six participants,WRONG_FIELD,1/1,1,redo_group_size,minimum of six participants,"A minimum participant count is a group size limit, not a participant eligibility requirement.",WRONG_FIELD
99621,redo_group_size,up to 110 people,CORRECT,1/1,1,,,,CORRECT
99621,redo_meeting_point,wharf location,CORRECT,1/1,1,,,,CORRECT
99621,redo_desc_other,$75 per person,CORRECT,1/1,1,,,,CORRECT
99621,redo_booking_what_to_bring,"Paddling clothes (rash vest, board shorts, hat)
Drinking Water
Sunscreen and towel
Thermal top, wind breaker (on cooler days)
Dry change of clothes for after the paddle",CORRECT,1/1,1,,,,CORRECT
99621,redo_booking_check_in,We will need to complete your check-in and go through our safety briefing before getting you on the water.,CORRECT,1/1,1,,,,CORRECT
99621,redo_booking_departure_info,Arrive 20 minutes prior to your booking start time.,CORRECT,1/1,1,,,,CORRECT
99621,redo_booking_important_info,*There are no on site changing or toilet facilities. We have a limited area to keep personal belongings. All belongings are left at participants' own risk*,WRONG_FIELD,1/1,1,redo_booking_other,There are no on site changing or toilet facilities. We have a limited area to keep personal belongings.,"Facility and personal-belonging storage notes are general booking information rather than health, age, fitness, safety, or waiver requirements.",WRONG_FIELD
99621,redo_booking_other,"#We hope you are looking forward to your adventure.
Please see below a checklist of things to do before arrival!#",WRONG_FIELD,1/1,1,NONE,We hope you are looking forward to your adventure. Please see below a checklist of things to do before arrival!,This is greeting/introductory filler rather than substantive booking information.,WRONG_FIELD
102168,redo_desc_about,"NRMA Insurance SurfGroms adopts an approach to learning that uses group-based games to not only equip your child with the skills they need to surf and/or SUP, but also to encourage their participation by having fun. Every NRMA Insurance SurfGroms lesson is designed purposefully to create a positive and supportive learning environment.
NRMA Insurance SurfGroms teaches children from 5-12 years old core skills in the ocean across five incremental skill levels, as well as fundamental Ocean Awareness and Beach Safety skills such as surf survival and rescue techniques; basic first aid skills; and about varying surf conditions at the beach.",CORRECT,1/1,1,,,,CORRECT
102168,redo_min_age,5,CORRECT,1/1,1,,,,CORRECT
102168,redo_max_age,12,CORRECT,1/1,1,,,,CORRECT
102168,redo_desc_other,AU $109.00/child + $25 Surfing Australia Administration Fee,CORRECT,1/1,1,,,,CORRECT
102168,redo_booking_what_to_bring,"Swimwear
Towel
Sunscreen
Drinking water
A HUGE smile and readiness to have lots of fun !!",CORRECT,1/1,1,,,,CORRECT
102168,redo_booking_inclusions,"Surfboard
Wetsuit
Rash Shirt
Sunscreen
Experienced and accredited Surfing Australia instructors",CORRECT,1/1,1,,,,CORRECT
102168,redo_booking_location,"Goodwin Terrace, Burleigh Heads QLD 4217, Australia
[Click here to see on Google Maps](https://goo.gl/maps/6rm8Nzfj5Tt)",CORRECT,1/1,1,,,,CORRECT
102168,redo_booking_other,"We provide the necessities for your surf lesson, but try to remember the following items:
We will provide you with the following when you arrive for your lesson:",WRONG_FIELD,1/1,1,redo_booking_inclusions,We will provide you with the following when you arrive for your lesson:,"This is inclusion-related lead-in text, and the other line is bring/inclusion-related rather than catch-all booking content.",WRONG_FIELD
102247,redo_desc_about,"Our 3 day SurfGroms program caters to groms between the ages of 5-12 years old. Become a Surfer for Life with the SurfGrom Program! GO Surf School runs SurfGrom programs in Port Fairy and Warrnambool over the summer months. SurfGroms is a fun-filled, learn-to-surf program that teaches kids the essentials of ocean awareness and safe surfing. We love our beach culture and these are essential lifelong skills for every child growing up around the beaches in Victoria. We have had a fantastic response to the SurfGrom program. Since its launch, thousands of children have experienced the thrill of surfing in Australia for the first time through SurfGroms. There are three achievement levels so kids can keep coming back and have fun learning the skills that will give them the confidence to become a surfer for life, as well as fundamental Ocean Awareness and Beach Safety skills such as surf survival and varying surf conditions at the beach. Group-based games not only equip your child with the skills they need to surf, but also to encourage their participation by having fun. Every SurfGroms lesson is designed purposefully to create a positive and supportive learning environment.
For more information call Fiona Hampson, at GO Surf School, or email us!",WRONG_FIELD,1/1,1,redo_desc_other,"For more information call Fiona Hampson, at GO Surf School, or email us!",This is contact/general information rather than descriptive prose about what the experience is.,WRONG_FIELD
102247,redo_desc_what_included,"Surfboard – we have a range of softboards to suit your size and ability. Wetsuit – Full-length warm wetsuits from a leading surf company are supplied, we have all sizes available. Sunscreen – If you forgot yours. Professional instruction from our qualified, well trained and enthusiastic surf coaches. Bonus: Each grom receives a $50 Rip Curl gift voucher, Cooee toy, Surfgroms logbook & certificate.",CORRECT,1/1,1,,,,CORRECT
102247,redo_desc_what_excluded,$25 Surfing Australia administration fee,CORRECT,1/1,1,,,,CORRECT
102247,redo_desc_itinerary,"Roll up at the beach 5min prior to your start time. Your SurfGroms coaches will be introduced and get you sorted with a wetsuit and board. We start with some beach-based technique and surf safety info. We are big on getting it right on the beach and getting you ready to hit the waves. You then hit the waves in waist- to chest-deep water. We will surf as much as possible but also mix it up with some surf specific beach games and activities, ocean safety, surf skills, and work on logbooks throughout the program. A feedback session with goals for the next lesson will be done before getting changed. At the final session, we will tick off completed skills and knowledge in your logbook and award other spot prizes.",CORRECT,1/1,1,,,,CORRECT
102247,redo_desc_duration_text,3 day,CORRECT,1/1,1,,,,CORRECT
102247,redo_min_age,5,CORRECT,1/1,1,,,,CORRECT
102247,redo_max_age,12,CORRECT,1/1,1,,,,CORRECT
102247,redo_desc_other,$120.00/child,CORRECT,1/1,1,,,,CORRECT
102247,redo_booking_what_to_bring,"Swimwear
Towel
Sunscreen
Drinking water
A HUGE smile and readiness to have lots of fun !!",WRONG_FIELD,1/1,1,NONE,A HUGE smile and readiness to have lots of fun !!,This is playful filler rather than an actual item to bring or wear.,WRONG_FIELD
102247,redo_booking_inclusions,"Surfboard
Wetsuit
Rash Shirt
Sunscreen
Experienced and accredited Surfing Australia instructors",CORRECT,1/1,1,,,,CORRECT
102247,redo_booking_location,"Go Surf School - SurfGroms (Warrnambool)
Pertobe Rd, Warrnambool, VIC, Australia
[Click here to see on Google Maps](https://goo.gl/maps/zSUbsJKESWD2)",CORRECT,1/1,1,,,,CORRECT
102247,redo_booking_other,"We provide the necessities for your surf lesson, but try to remember the following items:
We will provide you with the following when you arrive for your lesson:",WRONG_FIELD,1/1,1,redo_booking_what_to_bring,"We provide the necessities for your surf lesson, but try to remember the following items: We will provide you with the following when you arrive for your lesson:","These are lead-in lines for the what-to-bring and inclusions sections, not standalone catch-all booking information.",WRONG_FIELD
103607,redo_desc_about,"Hire a surfboard for endless fun at East Beach. One of the safest and best beginner surf beaches in Victoria! GO Surf School’s hires surfboards, wetsuits and paddle boards on Port Fairy's East beach in Spring, Summer and Autumn. Experience the thrill of catching your first wave. We hope that you will love surfing as much as we do. Standing on a board for the first time is a buzz!
East Beach is off shore in westerly winds, but there is almost always a wave there suitable for beginners in any wind conditions.",CORRECT,1/1,1,,,,CORRECT
103607,redo_desc_what_included,"We have soft beginner surfboards to suited to everyones abilities. Our equipment is the best available on the market and produced specifically for Surf Schools. We use soft, stable boards that are easy to balance, paddle, stand and surf on for intermediate and beginner surfers. Quality Rip Curl, Billabong and Quiksilver wetsuits keep you warm in the water.",CORRECT,1/1,1,,,,CORRECT
103607,redo_desc_duration_text,2 Hours,CORRECT,1/1,1,,,,CORRECT
103607,redo_desc_other,People: $25,CORRECT,1/1,1,,,,CORRECT
103607,redo_booking_what_to_bring,"Just your wetsuit, swimmers or boardies, a towel and sunscreen.",CORRECT,1/1,1,,,,CORRECT
103607,redo_booking_inclusions,"Our surfboards are the best available on the market and produced specifically for Surf Schools. We use soft, stable boards that are easy to balance, paddle, stand and surf on for beginners. We have wetsuits available so just contact us in advance with your size.",WRONG_FIELD,1/1,1,redo_booking_before_arrival,just contact us in advance with your size,"This is an instruction to do something before arrival, not an inclusion.",WRONG_FIELD
103607,redo_booking_location,Port Fairy's beautiful East Beach is one of the safest beaches to learn to surf in Victoria. Meet on the grassed area at the East Beach end of Ritchie St (2 blocks past the SLSC).,CORRECT,1/1,1,,,,CORRECT
103607,redo_booking_check_in,Please arrive 5 minutes prior to your hire time so we can organise your equipment.,WRONG_FIELD,1/1,1,redo_booking_departure_info,Please arrive 5 minutes prior to your hire time,This is arrival timing information rather than an action to complete on arrival.,WRONG_FIELD
103607,redo_booking_cancellation,"We only cancel if the conditions are unsafe (eg. lightening or extreme winds). Surfers surf in all weather and its actually a great activity on an overcast or rainy day...you're going to get wet anyway! You will be contacted if, for some reason, the hire is postponed or cancelled.",CORRECT,1/1,1,,,,CORRECT
103607,redo_booking_contact,0408310001,CORRECT,1/1,1,,,,CORRECT
103636,redo_desc_about,"Whether you’re an individual determined to get up on that first wave or a more experienced surfer needing some feedback on your surfing technique, our individual surfing lessons are a great way to improve your surfing with the one on one advice and support from your very own surf coach. The lesson is tailored just for you! We cater for beginners to high performance surfers. All equipment supplied.
This offers you a great saving on each of your lessons and gives you the time in the water that's needed to really improve in the surf!
You don’t really need to bring much to your surf lesson, but try to remember the following items:
We will provide you with the following when you arrive for your lesson:
Lessons are generally held at Redgate Beach, however if conditions aren't suitable we will notify you of the best location for the conditions on the day.",WRONG_FIELD,1/1,1,redo_desc_what_to_bring,"You don’t really need to bring much to your surf lesson, but try to remember the following items:","The about field includes content introducing what to bring, and also includes inclusion/location details that are not general overview prose.",WRONG_FIELD
103636,redo_desc_what_included,"- Surfboard
- Wetsuit
- Rash Shirt
- Sunscreen (if you do not have your own)
- Professional Instruction from our experienced surf coaches",CORRECT,1/1,1,,,,CORRECT
103636,redo_desc_itinerary,"- One on one coaching
- All levels/abilities and all ages
- Covers all the basics: from warm-up, to paddling, to catching waves and standing
- Includes important surf and safety rules
- Relaxed, supportive vibe
- Professional and well organised
- Massive fun!",WRONG_FIELD,1/1,1,redo_desc_highlights,"- One on one coaching
- All levels/abilities and all ages
- Covers all the basics: from warm-up, to paddling, to catching waves and standing","This is a list of lesson features and selling points, not a time-based or ordered itinerary.",WRONG_FIELD
103636,redo_desc_what_to_bring,"- Swimwear
- Towel
- Sunscreen
- Drinking water
- Beach footwear in summer if the ground is hot
- Your booking voucher (printed or on your phone)
- A HUGE smile!!....",CORRECT,1/1,1,,,,CORRECT
103636,redo_desc_duration_text,2 Hour Lessons,CORRECT,1/1,1,,,,CORRECT
103636,redo_desc_check_in,Please meet the Margaret River Surf School van in the Redgate Beach Car Park 10 minutes prior to your lesson commencing. Directions; From Margaret River town head South on Bussell Hwy. At the roundabout turn right onto Boodjidup Rd and continue to the end. Turn left onto Caves Rd. In 2kms turn right onto Redgate Rd and continue all the way to the beach car park.,WRONG_FIELD,1/1,1,redo_desc_other,Directions; From Margaret River town head South on Bussell Hwy. At the roundabout turn right onto Boodjidup Rd and continue to the end. Turn left onto Caves Rd. In 2kms turn right onto Redgate Rd and continue all the way to the beach car park.,"The field includes driving directions, which are not check-in actions on arrival.",WRONG_FIELD
103636,redo_meeting_point,Redgate Beach,CORRECT,1/1,1,,,,CORRECT
103636,redo_desc_other,"**Single Lesson:** $155
**3 Lesson Package:** $435
**5 Lesson Package:** $695",CORRECT,1/1,1,,,,CORRECT
103636,redo_booking_what_to_bring,"Swimwear
Towel
Sunscreen
Drinking water
Beach footwear in summer if the ground is hot
Your booking voucher (printed or on your phone)
A HUGE smile!!....",CORRECT,1/1,1,,,,CORRECT
103636,redo_booking_inclusions,"Surfboard
Wetsuit
Rash Shirt
Sunscreen (if you do not have your own)
Professional Instruction from our experienced surf coaches",CORRECT,1/1,1,,,,CORRECT
104033,redo_desc_about,"Recreational Swim Classes for Fitness, and Healthy minds. These recreational lessons are for anyone wanting to enjoy swimming as apart of their weekly fitness regime, it is great for the mind and body allowing yourself to enjoy the flow in the water. I believe that swimming can be effortless for everyone once that have been taught the basic techniques. We utilse fins (flippers)and Pull bouys to start you out with ease. We focus on breathing techniques to allow your mind to slow down, and enjoy the feel of the water. Kickng sets to strengthen and tone legs and your core, limiting the chances of injury. For those who just love being in the water this is fun and doable for any level of swimmer. Great for anyone who is wanting to keep fit whilst rehabilitating from any injury.",CORRECT,1/1,1,,,,CORRECT
104033,redo_desc_duration_text,1 Hour,CORRECT,1/1,1,,,,CORRECT
104033,redo_desc_other,$15 per Adult,CORRECT,1/1,1,,,,CORRECT
104033,redo_booking_what_to_bring,"Swimmers and or boardshorts
Towel
Water bottle
Voucher for the lesson
Suncreen",CORRECT,1/1,1,,,,CORRECT
